"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"REF**";"Logo-Back-SolderedFULL-20mm";1;"Logo-Front-SolderedFULL-20mm";;;
2;",,,,,,,,,,,";"buzzardLabel";12;"";;;
3;"R1,R2,R4,R3";"0603R";4;"10k";;;
4;"H1,H2,H1,H2";"HOLE_3.2mm";4;"HOLE_3.2mm";;;
5;"JP3";"SMD-JUMPER-CONNECTED_TRACE_SLODERMASK";1;"SMD-JUMPER-CONNECTED_TRACE_SLODERMASK";;;
6;"U1";"BQ27441";1;"BQ27441";;;
7;"G***";"Logo-Back-OSH-3.5mm";1;"LOGO";;;
8;"K3";"TERMINAL_KF235-5.0-2P";1;"TERMINAL_KF235-5.0-2P";;;
9;"K5,K4";"easyC-connector";2;"easyC-SMD";;;
10;"G***";"Symbol-Front-Battery";1;"LOGO";;;
11;"K2";"JST-2pin-SMD";1;"JST-2pin-SMD";;;
12;"G***";"Logo-Front-Soldered-5mm";1;"LOGO";;;
13;"R5,R8";"0603R";2;"10K";;;
14;"R6";"1206R";1;"0.010R";;;
15;"JP1,JP2";"SMD_JUMPER_3_PAD_TRACE";2;"SMD_JUMPER_3_PAD_TRACE";;;
16;"C2,C1";"0603C";2;"1u";;;
17;"U3";"SOT-23-5";1;"SE5218";;;
18;"C3,C4";"0603C";2;"2.2uF";;;
19;"Ge,G***";"Logo-Front-easyC-5mm";2;"LOGO";;;
20;"R7";"0603R";1;"1.8M";;;
21;"U2";"SOT-363";1;"NMOS-DUAL";;;
22;"JP4";"SMD_JUMPER";1;"SMD_JUMPER";;;
23;"FD1";"FIDUCIAL_23";1;"FIDUCIAL";;;
24;"G***";"Symbol-Front-Fuel-Gauge";1;"LOGO";;;
25;"Ref**";"Version1.0.0.";1;"Val**";;;
26;"K6";"HEADER_MALE_4X1";1;"HEADER_MALE_4X1";;;
27;"K1";"HEADER_MALE_1X1";1;"HEADER_MALE_1X1";;;
